gate_id,test_name,pass_threshold,fail_threshold,actual_value,test_status,details
Gate 1,Point-in-Time Universe Audit,100% historical constituent compliance (0 modern leakages),Any presence of modern-only tickers in historical pools,100.0% point-in-time compliant (0 modern leakages across 236 snapshots),PASS,Audited 236 monthly snapshots from 2007 to 2026 across 9 modern IPO scrips
Gate 2,Delisting & Survivorship Invariant,100% of vanished stocks recorded with terminal liquidation; 0 silently dropped,Purging or ignoring delisted constituents,100% dead scrips tracked with terminal price liquidation (5/5 sampled dead scrips),PASS,"Verified full bar history, terminal liquidation dates, and liquidation handling for dead constituents"
Gate 3,Look-Ahead Bias Proof,Strictly t+1 Open execution; zero look-ahead in rolling indicators or filters,Any same-day Close execution (t Close signal executed at t Close),"0 lookahead violations across 1,080 executed trades (100% strictly filled at t+1 Open)",PASS,Every signal generated at EOD t; execution filled at t+1 Open across 1080 trades
Gate 4,Corporate Action Integrity,Corporate actions do not generate artificial 1-day moves > 5.0%,Presence of unadjusted split drop artifacts,Max 1-day CA move: 2.79% (0 split-drop artifacts > 5.0% across 9 verified corporate actions),PASS,Audited 9 major bonus/split dates; verified 1-day returns show 0 unadjusted price drop plunge artifacts
Gate 5,Base Institutional Cost Model,Net CAGR > Benchmark CAGR + 4.0 percentage points,Net CAGR < Benchmark CAGR + 2.0 percentage points,"Net CAGR: 22.97% (Benchmark: 11.14%, Excess: +11.83 pp >= +4.0 pp)",PASS,"1x institutional schedule: 0.03% broking, 0.1% STT, 0.015% stamp, 10 bps slippage"
Gate 6,2x Cost Stress Test,Net CAGR remains > Benchmark CAGR + 2.0 percentage points,Strategy alpha disappears or drops below benchmark,"Net CAGR: 21.42% (Benchmark: 11.14%, Excess: +10.28 pp >= +2.0 pp)",PASS,2x institutional schedule: Round-trip friction doubled to ~1.50%
Gate 7,3x Cost Stress Test,Net excess return over benchmark remains strictly positive (> 0.0%),Negative excess return (strategy destroyed by friction),"Net CAGR: 19.90% (Benchmark: 11.14%, Excess: +8.76 pp > 0.0 pp)",PASS,3x institutional schedule: Round-trip friction tripled to ~2.25%
Gate 8,Slippage Sensitivity Ladder,Max Drawdown increase < 10 percentage points; CAGR > benchmark at <= 0.50% slippage,CAGR drops below benchmark at <= 0.50% slippage,MaxDD increase: 9.00 pp (< 10 pp); CAGR at 50 bps slippage: 18.40% (> 11.14%),PASS,"Discrete slippage tiers evaluated: 0.10%, 0.25%, 0.50%, 1.00%"
Gate 9,Execution Delay & Timing Sensitivity,t+1 VWAP CAGR within 20% relative to t+1 Open; positive alpha under t+2 Open,Strategy collapses or requires zero-delay execution,VWAP CAGR 23.11% (rel delta 0.61% <= 20%); t+2 Open CAGR 24.07% (excess +12.93 pp > 0%),PASS,t+1 Open: 22.97% | t+1 VWAP: 23.11% | t+2 Open: 24.07%
Gate 10,Circuit Limit & Tradability Guard,> 80% of intended trades fully executable on scheduled rebalance date,> 20% of rebalance trades permanently blocked by circuit locks,99.30% executable on scheduled rebalance date (1132/1140 orders),PASS,"Audited 1140 orders; 3 UC blocks, 5 LC blocks"
