path	bytes	sha256	what_it_proves
data/adjusted_bhavcopy_max_2007_2026.parquet	68061592	d83ad78e162661fdd8ca54247c125783104d6912eaab34530ba641802b7b21e7	Consolidated maximum Bhavcopy ground-truth dataset (2007-2026, 2,137,630 bars, 1,039 symbols)
data/symbol_map.parquet	100724	014e2d9401645c406ea91193f8d45528593693298c0ea301ad53dfcdec77f885	Symbol map providing active scrip resolution including all modern constituents (1,614 scrips)
data/yfinance_ohlcv_2007_2026.parquet	105248348	9ed8525ce416654563250575d5c16f3ebc953153ee731234cfc52d672804e54b	Consolidated Yahoo Finance OHLCV dataset (2007-2026, with raw OHLC, Adj Close, Dividends, Splits)
deliverables/data_comparison/DATA_COMPARISON_RULING.md	6401	34700555b373f79079f626609d5c58d48054563e6a482186851e6f55df0a3e21	Final Auditor ruling certifying Bhavcopy consolidation, rejecting YFinance for backtesting, and clearing HALT-7
deliverables/data_comparison/DIGEST.md	10387	9d0549cd800ea1c733e7521dbbfe9b11a6e2e40edeab4b12eb274f732c36667b	Executive digest and definitive audit verdict on Yahoo Finance data trustability vs official NSE Bhavcopy
deliverables/data_comparison/NEXT_TASK.md	8537	161ae4c70cebc304d44550a769cfaaa22944f9e3e385d7d5e87fa15a60636dce	Artifact supporting Data Comparison execution
deliverables/data_comparison/data_csv/comparative_backtest_delta.csv	1041	0a9467ec10bf5ce12aaaec21b72cdf61a26ca6299d297aeecb32aee36fc86870	Comparative momentum strategy backtest results quantifying performance divergence (Bhavcopy vs YFinance)
deliverables/data_comparison/data_csv/corporate_action_fidelity.csv	851	cde7a154618844cedf387975891f5d3a8380929ebbe1f701a9d91bba72fefca5	Corporate action fidelity audit verifying 1-day returns across 10 known bonus/split dates
deliverables/data_comparison/data_csv/coverage_comparison.csv	77904	f1efb5045dc76c874960de0b5b83426e0818681f67ce671b3042c1130099d2e0	Survivorship bias audit quantifying missing/delisted scrips in Yahoo Finance vs point-in-time universe
deliverables/data_comparison/data_csv/price_tracking_error.csv	41380	7cb16c2da66aa7327ea325b17d5eda3cab1824130e487b52d0f59cbfb28f4aef	Price discrepancy audit computing MAPE, Max Diff, and % of bars diverging > 1.0%
deliverables/data_comparison/raw/comparative_audit_log.txt	3413	2b2c73a910d002bee1dd079de4c3d2b9480aa85e6ec7a351276eed5fd1458fde	Raw log of comparative mathematical fidelity audit
deliverables/data_comparison/raw/comparative_backtest_log.txt	11285	88c4afb380f69d08d6dfff60e70d2d0b967b8a7c01e2c1b41c5a830fee8705e5	Raw log and tearsheets of comparative backtest re-run
deliverables/data_comparison/raw/consolidation_log.txt	1682	a6b1e4838ea4267aa217c476d1a6cf05b15413d808c3d63eb65b2b95b4228dcc	Raw log of maximum Bhavcopy consolidation (2007-2026, 2.14M bars, 1,039 symbols, 0 duplicates)
deliverables/data_comparison/raw/yfinance_download_log.txt	4851	ccfeadffbb4ea7346af2ea79ff2f1a08610535e9716b234eb105c7f962bfd61d	Raw log of multi-threaded batched Yahoo Finance download
deliverables/data_comparison/scripts/audit_yfinance_vs_bhavcopy.py	10604	95b3681b7702ea8259fe5317c4996eee47a3985a81670ad1b93c82d3722a56ba	Comparative fidelity and corporate action audit script
deliverables/data_comparison/scripts/consolidate_max_bhavcopy.py	6251	b5a8e046926201223181f7ab80bc3f2880e296db60680a4a3037cfe1fcb963ed	Maximum Bhavcopy consolidation builder script
deliverables/data_comparison/scripts/fetch_yfinance_ohlcv.py	12815	6da40b008eed4529ae5ee1030ee59c7f445967f30f027811c34a164ff9020950	Batched multi-threaded YFinance downloader script
deliverables/data_comparison/scripts/generate_evidence_index.py	5075	47296dcab77b678a60c9fcb167a850c073a97db76effc25dea1f48c3fb5ad6cf	Manifest and checksum generator script
deliverables/data_comparison/scripts/run_comparative_backtest.py	13412	3cb8fe1994953e20acbaa77ad4e04d57fad700bec4fa93ba402f75f658502c2e	Comparative momentum strategy backtest runner script
deliverables/data_comparison/task_list.md	3163	1a4e83f899396d152bcc4d727647cb487dc48eb69556bbed75eeaba687f39eff	Roadmap tracking data comparison gates with Standing Gate HALT-7 open
