path	bytes	sha256	what_it_proves
data/corrections.parquet	9231	0edec75a63f4eadd271901d1023b34ef4f3ee32144669d497b0f6e991d06587e	Approved corrections table dynamically applied during replay (all 16 status = 'approved')
data/index_events.parquet	65497	7a15cfae88c53c6a4d79c5fe28dc3642a999728855d29329a892e11261d2d54a	Append-only index events source dataset unaltered (9,121 rows, SHA256 7a15cfae...)
data/symbol_map.parquet	91649	ce9cc73605fcf8cd8b60cd384187dafc9ea9c74235e7cea7f317a2cb851b5154	Symbol map providing active scrip resolution (763 active scrips)
data/verification/membership_2003-09-05.txt	11562	fa2df90401cb5d01f011bf46736c68adcbfaae307816c14d185718522df1963e	Gate E membership manifest as of 2003-09-05 (early history) verified identical under forward and backward replay
data/verification/membership_2012-05-21.txt	11573	992810da9fce21e93526b3311eb59c07ef99f54431b2d4c7e12dfc324e2feaa3	Gate E membership manifest as of 2012-05-21 (mid history) verified identical under forward and backward replay
data/verification/membership_2015-12-14.txt	11443	4aba4a29a49f69857938d5b44e9ca4535e6757eccda422e336d0422b49cdc3e6	Gate E membership manifest as of 2015-12-14 (late history) verified identical under forward and backward replay
deliverables/gate_ef/DIGEST.md	7589	d03b9b848011a7f2dd81545ca1d8cc0ba9290f6b1fbf158c0efc07ef3192d432	Phase 5.5 Gates E & F executive summary digest detailing round-trip replay, boundary continuity, byte-identical reproducibility, and date clamping
deliverables/gate_ef/data_csv/gate_e_roundtrip_summary.csv	826	35fc8c68f6d41875cf8ba7a0dfe7b273779ca0b1bb3bc3d66c3824b802684a01	Gate E summary metrics proving forward and backward replay equivalence across sampled dates and end boundary continuity
deliverables/gate_ef/data_csv/gate_f_clamping_summary.csv	1999	f4a8af90cd240cd61562e97fa0247666be909be4d4db647234c39559e69de8e1	Gate F summary metrics demonstrating automatic out-of-bounds date clamping, warning emission, and run-date invariance
deliverables/gate_ef/raw/gate_e_roundtrip.txt	3441	3ecaa15fa9655fa33d8c67f1a74a54b12419e16163b198a524445b1555ea16f3	Gate E raw execution log: forward/backward replay equivalence, symmetric difference 0, and end-boundary event transitions
deliverables/gate_ef/raw/gate_f_pass1.txt	4714	6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4	Gate F raw execution log: Pass 1 point-in-time dynamic backtest metrics, trade log, and Rule R-3 identity verification
deliverables/gate_ef/raw/gate_f_pass2.txt	4714	6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4	Gate F raw execution log: Pass 2 point-in-time dynamic backtest metrics, trade log, and Rule R-3 identity verification
deliverables/gate_ef/raw/gate_f_run_pass1.txt	4714	6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4	Gate F raw execution log: Pass 1 point-in-time dynamic backtest metrics, trade log, and Rule R-3 identity verification
deliverables/gate_ef/raw/gate_f_run_pass2.txt	4714	6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4	Gate F raw execution log: Pass 2 point-in-time dynamic backtest metrics, trade log, and Rule R-3 identity verification
deliverables/gate_ef/raw/gate_f_truncation.txt	4605	368b5999c3ca102192ab8629ff8881ad2731efc4d938550a745fea318b1bfc72	Gate F raw execution log: boundary clamping tests, warning emission verification, and run-date invariance
deliverables/gate_ef/scripts/gate_e_roundtrip.py	13744	dcb8926f56c4d374765a3389487b6d4dd1832e061fa4c55f62817108d09531e8	Gate E script implementing bi-directional snapshot replay and end-boundary continuity verification
deliverables/gate_ef/scripts/gate_f_reproducibility.py	22768	feb8032849c859ee72934298790275fc35ee55be23991589991c09f954c3bd0d	Gate F script executing dual-pass reproducibility, out-of-bounds date clamping, and run-date invariance
deliverables/gate_ef/scripts/generate_evidence_index.py	5475	4c09d24c4e4e8cbd8fd0387198af828966a01f3a566dff116fc9c7785d0e9627	Script generating Phase 5.5 Gates E & F EVIDENCE_INDEX.tsv manifest
deliverables/gate_ef/task_list.md	1878	29958ae996b04714f0f514571162447ba45a2110c835b840557a3e10373fca46	Phase 5.5 roadmap tracking progress through Gate E and Gate F with HALT-5 held open
