file_path	file_size_bytes	sha256_hash	claim_proven
PRODUCTION_MASTER_DIRECTIVE.md	14015	77b7f572ac3ca0a7f0291ba93f0a8ea9300de680eef6516c87a5d99e768358c2	Master production transition directive specifying Tasks 1-4 and Standing Gate HALT-10
deliverables/phase_9/DIGEST_PRODUCTION.md	9134	8d7d44b4ddf019a762ded303d26e714c0c1a89afd1564c396035a31bed47f7b9	Executive verification digest and deployment tearsheet for production transition
data/universe/universe_metadata.json	943	c9dfc26f4a94103cf72ceb36dc8b0e208fa4be380ae95a94a5e641dba621b32e	Cryptographic schema metadata and bar counts for PIT master universe database
scripts/update_universe.py	13154	e01ef5d7464ebe0de8fc7196c0cf36a32c2443558c6df4413be17ed29e9b29db	Idempotent auto-updater and verification utility for daily Bhavcopy additions
production/plugins/base_plugin.py	749	89ab53f36ba0f392f719a63ebfb99e870f3b05d32a3eeb3dd4b3a665d46c5354	Abstract base class specification for modular scanner plugins
production/plugins/rrg_filter.py	3441	cf513d1f51309e3f49cec463ae7e626f8ca5c0772ddeb407dbe58db8d2fadd1b	Pluggable Julius de Kempenaer Relative Rotation Graph (RRG) filter implementation
production/scanner.py	11192	3ba6193428eec45df61e3edbedb66e1fe225ffa7c3c24aa3f86bc97fc784e47e	Production Friday EOD momentum scanner evaluating 5-tier rules and Volar scores
production/telegram_alerts.py	6689	26afced2f4464a022844fab568dfff280a711728dc942bc91b41e928d67207eb	Institutional Telegram HTML notification formatter and dual-tier position sizing engine
deliverables/phase_8/data_csv/screener_output_live.csv	97040	f0a145d6206354ef4c0669f3a5598b7910f1b5739868acdebe130b0bbbc335fd	Empirical screener output ranking active universe momentum candidates
reports/mip_institutional_tearsheet.html	129914	9e6302b3516319a1ad2b43c3d00691d46e3db874570a713a6a322109a5760f7b	Interactive standalone dark-mode Plotly performance and due diligence tearsheet
scripts/build_institutional_tearsheet.py	28706	d07cc4ea19e84d74cd661a06740ae21cbc8f872c05502dfb35f296a0d0bb7530	Generator script assembling empirical backtest data into interactive Plotly tearsheet
