gate_id,gate_name,phase,institutional_threshold,empirical_result,compliance_status
Gate 1,Point-in-Time Universe Coverage,Phase 7A,100% PIT constituents across 1998-2026,100% Reconstructed,PASS
Gate 2,Delisting & Mergers Graveyard,Phase 7A,Zero survivorship bias; graveyard scrips tracked,89 Delisted Scrips Tracked,PASS
Gate 3,Execution Model & No-Lookahead Fill,Phase 7A,t+1 Open fill; zero same-day lookahead,100% Next-Day Open Fills,PASS
Gate 4,Corporate Actions Split/Bonus Neutrality,Phase 7A,Zero spurious CA plunges; split/bonus neutral,0 Spurious Price Shocks,PASS
Gate 5,Base Institutional Costs (1x),Phase 7A,CAGR > Benchmark + 2.0 pp after 1x friction,CAGR 22.97% (+11.83 pp excess),PASS
Gate 6,2x Cost Stress Test,Phase 7A,CAGR > Benchmark + 2.0 pp after 2x friction,CAGR 21.42% (+10.28 pp excess),PASS
Gate 7,3x Cost Stress Test,Phase 7A,Positive alpha over benchmark under severe friction,CAGR 19.90% (+8.76 pp excess),PASS
Gate 8,Slippage Ladder Sensitivity,Phase 7A,Viable up to 50 bps execution slippage,Profitable through 50 bps,PASS
Gate 9,Rebalance Friction Breakeven,Phase 7A,Breakeven friction > 150 bps,Breakeven > 150 bps,PASS
Gate 10,Rule R-3 Cash Conservation Identity,Phase 7A,Residual strictly 0.00 to the paisa,Residual = 0.000000 INR,PASS
Gate 11,In-Sample / Out-of-Sample Split,Phase 7B,OOS CAGR > Benchmark + 3.0 pp,OOS CAGR 24.84% (+10.07 pp excess),PASS
Gate 12,5-Year / 1-Year Walk-Forward Analysis,Phase 7B,Consistent positive alpha across rolling windows,Median OOS CAGR 21.45% (5/5 Profitable),PASS
Gate 13,Simulated Paper Trading Calibration,Phase 7B,Tracking error < 5.0%; slippage <= 1.5x,Tracking Error 0.42% | Slippage 1.08x,PASS
Gate 14,Parameter Plateau Sensitivity,Phase 7B,>= 70% of parameter permutations beat benchmark,83.95% Robust Plateau,PASS
Gate 15,Rebalance Execution Day Sensitivity,Phase 7B,Stdev across execution days < 1.5 pp,Median CAGR 23.01% (Stdev 0.45%),PASS
Gate 16,Universe Breadth Sensitivity,Phase 7B,At least 3 universe segments beat benchmark by >= +3 pp,4/5 Universes Outperform (Mid/Small > 26%),PASS
Gate 17,6-Regime Macro Stress Test,Phase 7C,Zero structural traps across all market regimes,Avg MaxDD 35.16% | Trough Recovery 1.60y,PASS
Gate 18,1000-Run Random Top-20 Monte Carlo,Phase 7C,Strategy beats random selection with p < 0.01,Excess CAGR +10.30 pp (p = 0.0000),PASS
Gate 19,"Jensen's Alpha, Beta & Information Ratio",Phase 7C,"Alpha > 5.0%, Beta < 1.0, IR > 0.50",Alpha +13.03% | Beta 0.796 | IR 0.578,PASS
Gate 20,"Sharpe, Sortino & Calmar Metrics",Phase 7C,"Sharpe >= 0.80, Sortino > 0.80, Calmar >= 0.50",Sharpe 0.82 | Sortino 0.89 | Calmar 0.50,PASS
Gate 21,Max Drawdown Recovery Analysis,Phase 7C,Full recovery within 3.0 years across all cycles,Max Recovery Time: 1.60 years,PASS
Gate 22,Trade Expectancy & Profit Factor,Phase 7C,"Expectancy > 5.0%, Profit Factor > 1.5",Expectancy +11.02% | Profit Factor 1.98,PASS
Gate 23,Newey-West HAC t-Statistic,Phase 7C,HAC t-stat > 1.50 (serial correlation adjusted),HAC t-stat: 1.833,PASS
Gate 24,Stationary Block Bootstrap,Phase 7C,5th percentile alpha > 0.0 pp; win rate > 90%,5th Pct Alpha +0.75 pp | Win Rate 96.21%,PASS
Gate 25,Deflated Sharpe Ratio (DSR),Phase 7C,DSR > 0.50 accounting for multiple testing,DSR: 1.0000,PASS
Gate 26,Component Attribution & Ablation Study,Phase 7D,Each added rule improves CAGR > 1 pp or cuts MaxDD > 5 pp,All 5 Steps Non-Redundant & Value-Additive,PASS
Gate 27,Exit Buffer Optimization,Phase 7D,100% buffer cuts turnover by > 20% with CAGR drop < 1 pp,Turnover Cut: 30.41% | CAGR Delta: +1.01 pp,PASS
Gate 28,Market Regime Filter Optimization,Phase 7D,Market filter cuts MaxDD > 10 pp with CAGR drop < 2 pp,MaxDD Cut: 12.56 pp | CAGR Delta: -1.48 pp,PASS
Gate 29,Volar Ranking vs Raw Return,Phase 7D,Volar improves Sharpe/Sortino and reduces Max Drawdown,Volar Sharpe 1.09 vs Raw 1.08 | MaxDD Improved,PASS
Gate 30,50% Retracement for Mid/Smallcaps,Phase 7D,Improves CAGR > 2 pp while keeping MaxDD < 60%,Mid/Small CAGR Boost > 2.0 pp | MaxDD < 60%,PASS
Gate 31,ADV Capacity Constraints,Phase 7D,Target AUM (₹10 Cr) max position < 10% ADV; viable capacity >= ₹10 Cr,95th Pct Order < 5.0% ADV | Capacity Viable,PASS
Gate 32,Multi-Asset ETF Basket Variant,Phase 7D,Functions in modern era with excess return > +2.0 pp,Excess CAGR +2.50 pp over NIFTY 50,PASS
